iso2c,iso3c,year,electricity_access,alternative_energy,electricity_consumption,energy_imports,energy_intensity,energy_use,fossil_fuel_consumption,fuel_exports,energy_unit_use_gdp,energy_investment_private,ores_metal_exports,renewable_electricity_output,renewable_energy_consumption,time_electricity,resources_rents,electricity_access_ru,electricity_access_ur
MO,MAC,2002,100,,,,0.94,,,3.48400332375004e-05,,,0.00565120557847524,0,1.19,,0.00129294906679629,100,100
MO,MAC,2003,100,,,,0.9,,,0,,,0.310894097207751,0,2.16,,0.00166554584274705,100,100
MO,MAC,2004,100,,,,0.79,,,0,,,1.13780725729118,0,2.2,,0.00142006573848475,100,100
MO,MAC,2005,100,,,,0.79,,,0,,,2.06201141324786,0,2,,0.000771556780536876,100,100
MO,MAC,2006,100,,,,0.68,,,0,,,2.65374780351676,0,2.49,,0.000762848827851074,100,100
MO,MAC,2007,100,,,,0.58,,,0,,,3.20895413881424,0,3.42,,0.000914438870219072,100,100
MO,MAC,2008,100,,,,0.56,,,0,,,3.72100278750515,0,4.66,,0.0013469057588807,100,100
MO,MAC,2009,100,,,,0.75,,,0,,,8.44446028612576,0,2.97,,0.00122316242316498,100,100
MO,MAC,2010,100,,,,0.51,,,,,,0,0,5.49,,0.000905336110857684,100,100
MO,MAC,2011,100,,,,0.44,,,,,,0,0,6.37,,0.000918692177255091,100,100
MO,MAC,2012,100,,,,0.4,,,,,,0,0,11.13,,0.000634100847057838,100,100
MO,MAC,2013,100,,,,0.35,,,,,,,0,16.61,,0.000518702389041606,100,100
MO,MAC,2014,100,,,,0.42,,,0,,,7.40107790878803,0,11.45,,0.000706241759351237,100,100
MO,MAC,2015,100,,,,0.59,,,0,,,2.11555351510338,0,5.41,,0.000676701941458073,100,100
MO,MAC,2016,100,,,,0.61,,,,,,1.04409684118757,,5.38,,0.000766345001001092,100,100
MO,MAC,2017,100,,,,0.59,,,,,,,,3.87,,0.000816621862281987,100,100
